"id","points","naziv","adresa"
90,"0101000020E61000004C9E6DA086E24640D37B104E80FB2F40","INA","ULICA SAVEZNE REPUBLIKE NJEMAČKE 1A"
91,"0101000020E6100000F66021667BE2464007CEA24238FB2F40","INA","ULICA SAVEZNE REPUBLIKE NJEMAČKE 12"
92,"0101000020E6100000041DCD9B07E64640359126FA56BB2F40","ITIFON","LJUBLJANSKA AVENIJA 10"
93,"0101000020E61000009D4C6EB1EEE4464049C98C664ED92F40","ITIFON","HORVAĆANSKA CESTA 71"
94,"0101000020E610000042CBCC6228E14640F4BBC615B4CD2F40","ITIFON","KARLOVAČKA CESTA 88"
95,"0101000020E6100000DC1972E804DC464094781C0E64CD2F40","ITIFON","BREZOVIČKA CESTA 122B"
96,"0101000020E6100000A1FE1DCBE7DF4640F442DD0F91FB2F40","ITIFON","BANEKI 18"
97,"0101000020E610000045CA8007D4E64640FA78EE724E1D3040","TIFON","SLAVONSKA AVENIJA 110"
98,"0101000020E6100000EB5A1875EFE74640B083B9F467B92F40","CRODUX","SAMOBORSKA CESTA 145A"
99,"0101000020E6100000030CDACADCE54640EEF6E854CCD12F40","CRODUX","ZAGREBAČKA AVENIJA 9"
100,"0101000020E61000001CCE5EB8DEE5464005A9447430033040","CRODUX","SLAVONSKA AVENIJA 8"
101,"0101000020E6100000EB95A029F5E5464069D962D06C023040","CRODUX","SLAVONSKA AVENIJA 1/1"
102,"0101000020E61000004495E7EF95E64640549AFF1DF20D3040","CRODUX","SLAVONSKA AVENIJA 11C"
103,"0101000020E6100000742F07AC22E746404353924FF11B3040","CRODUX","SLAVONSKA AVENIJA 61"
104,"0101000020E610000009A097D8DCE84640533F53D5221A3040","CRODUX","ULICA LJUDEVITA POSAVSKOG 7"
105,"0101000020E610000034E9DA0A66E9464089573412AB193040","CRODUX","ULICA LJUDEVITA POSAVSKOG 4"
106,"0101000020E6100000B3BF5B3C96E9464066DE00EC89263040","CRODUX","KOBILJAČKA CESTA 11"
107,"0101000020E61000003B978DCE39EF46409D265AA332313040","CRODUX","LAKTEČKA CESTA 12"
108,"0101000020E6100000CE616F5065EF46404D764B3D4E313040","CRODUX","LAKTEČKA CESTA 10"
109,"0101000020E6100000D35184974AE846406D18C95B84063040","CRODUX","ULICA KNEZA BRANIMIRA 103A"
110,"0101000020E6100000B4A8F3DB69E246407645B558EFF52F40","CRODUX","AVENIJA VEĆESLAVA HOLJEVCA 30"
111,"0101000020E61000001B360E184BE24640365A1C6361DB2F40","CRODUX","JADRANSKA AVENIJA 11"
112,"0101000020E61000003E541C0C57E14640EC8D816DABCC2F40","CRODUX","KARLOVAČKA CESTA 221"
113,"0101000020E61000005ACCA745FFDD46408D07EF4D81033040","CRODUX","NADINSKA ULICA 25"
114,"0101000020E6100000113D890547E84640AD5F1FB456B02F40","CRODUX","SAMOBORSKA CESTA 225"
115,"0101000020E610000042015FFA6CE746407A704329ADB72F40","PETROL","ULICA VELIMIRA ŠKORPIKA 18"
116,"0101000020E6100000C3741A9CDAE6464074B88AB18BD62F40","PETROL","ZAGREBAČKA CESTA 168"
117,"0101000020E61000009C91CB0381E84640743350D7E2083040","PETROL","ULICA KNEZA BRANIMIRA 117"
118,"0101000020E6100000CE57A7DC9AE84640D476D9D0490A3040","PETROL","ULICA KNEZA BRANIMIRA 10A"
119,"0101000020E61000005BB62C1802E946405B73DB60D60E3040","PETROL","ULICA KNEZA BRANIMIRA 121"
120,"0101000020E6100000F54F5838C2E94640F2F3D7128F0B3040","PETROL","DUBRAVA 62"
121,"0101000020E6100000A2F2773B77E946404596FAE9A7213040","PETROL","SESVETSKA CESTA 49"
122,"0101000020E6100000C571936A42E7464087A80C74D1183040","PETROL","SLAVONSKA AVENIJA 51"
123,"0101000020E6100000FBC99C57CAE64640660218AB5A133040","PETROL","ČULINEČKA CESTA 255"
124,"0101000020E6100000857B22E56DE24640A7CBCA4568E62F40","PETROL","REMETINEČKA CESTA 151"
125,"0101000020E61000002E70FC07D3E046404DD7A04B12E52F40","PETROL","SISAČKA CESTA 2"
126,"0101000020E6100000CCE9BEE56FE14640656101AC8BF62F40","PETROL","AVENIJA VEĆESLAVA HOLJEVCA 42A"
